127.0.0.1, 2016-05-10 17:06:27, GET, /, HTTP/1.1, 303, 0.002458
127.0.0.1, 2016-05-10 17:06:27, GET, /welcome/default/index, HTTP/1.1, 200, 0.469334
127.0.0.1, 2016-05-10 17:06:30, GET, /admin/default/index, HTTP/1.1, 200, 0.264500
127.0.0.1, 2016-05-10 17:06:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000275
127.0.0.1, 2016-05-10 17:06:32, POST, /admin/default/index, HTTP/1.1, 303, 0.032309
127.0.0.1, 2016-05-10 17:06:32, GET, /admin/default/site, HTTP/1.1, 200, 0.042313
127.0.0.1, 2016-05-10 17:06:36, GET, /admin/default/design/examples, HTTP/1.1, 200, 0.212747
127.0.0.1, 2016-05-10 17:06:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000294
127.0.0.1, 2016-05-10 17:06:38, POST, /admin/default/check_version, HTTP/1.1, 200, 5.906859
127.0.0.1, 2016-05-10 17:06:46, GET, /examples/appadmin/index, HTTP/1.1, 200, 0.027158
127.0.0.1, 2016-05-10 17:06:46, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.000618
127.0.0.1, 2016-05-10 17:06:46, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.000379
127.0.0.1, 2016-05-10 17:06:46, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.000354
127.0.0.1, 2016-05-10 17:06:46, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.000492
127.0.0.1, 2016-05-10 17:06:46, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.000611
127.0.0.1, 2016-05-10 17:06:46, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.000918
127.0.0.1, 2016-05-10 17:06:46, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.000427
127.0.0.1, 2016-05-10 17:06:46, GET, /examples/appadmin/hooks, HTTP/1.1, 200, 0.016093
127.0.0.1, 2016-05-10 17:06:46, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.000601
127.0.0.1, 2016-05-13 10:42:25, GET, /, HTTP/1.1, 303, 0.002481
127.0.0.1, 2016-05-13 10:42:25, GET, /welcome/default/index, HTTP/1.1, 200, 0.291574
127.0.0.1, 2016-05-13 10:42:25, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001284
127.0.0.1, 2016-05-13 10:42:25, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003168
127.0.0.1, 2016-05-13 10:42:25, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001840
127.0.0.1, 2016-05-13 10:42:25, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002378
127.0.0.1, 2016-05-13 10:42:25, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001377
127.0.0.1, 2016-05-13 10:42:25, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003098
127.0.0.1, 2016-05-13 10:42:25, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000476
127.0.0.1, 2016-05-13 10:42:25, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000562
127.0.0.1, 2016-05-13 10:42:25, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001654
127.0.0.1, 2016-05-13 10:42:25, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000581
127.0.0.1, 2016-05-13 10:42:25, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000508
127.0.0.1, 2016-05-13 10:42:25, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000713
127.0.0.1, 2016-05-13 10:42:26, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001058
127.0.0.1, 2016-05-13 10:42:26, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000851
127.0.0.1, 2016-05-13 10:42:26, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000802
127.0.0.1, 2016-05-13 10:42:26, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000544
127.0.0.1, 2016-05-16 14:19:04, GET, /, HTTP/1.1, 303, 0.002889
127.0.0.1, 2016-05-16 14:19:05, GET, /welcome/default/index, HTTP/1.1, 200, 0.319420
127.0.0.1, 2016-05-16 14:19:05, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000691
127.0.0.1, 2016-05-16 14:19:05, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000523
127.0.0.1, 2016-05-16 14:19:05, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.003423
127.0.0.1, 2016-05-16 14:19:05, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.003437
127.0.0.1, 2016-05-16 14:19:05, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.003505
127.0.0.1, 2016-05-16 14:19:05, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.004183
127.0.0.1, 2016-05-16 14:19:05, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000640
127.0.0.1, 2016-05-16 14:19:05, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002240
